num,name,heightm,weightkg,color,tier,prevo,evoLevel,forme,evoItem,evoCondition,evoMove,Bug,Dark,Dragon,Electric,Fairy,Fighting,Fire,Flying,Ghost,Grass,Ground,Ice,Normal,Poison,Psychic,Rock,Steel,Water,eggGroup_Amorphous,eggGroup_Bug,eggGroup_Ditto,eggGroup_Dragon,eggGroup_Fairy,eggGroup_Field,eggGroup_Flying,eggGroup_Grass,eggGroup_Human-Like,eggGroup_Mineral,eggGroup_Monster,eggGroup_Undiscovered,eggGroup_Water 1,eggGroup_Water 2,eggGroup_Water 3,M,F,hp,atk,def,spa,spd,spe,ability_0,ability_H,ability_1,ability_S,legendary,numEvos,gen
8,Wartortle,1.0,22.5,Blue,NFE,Squirtle,16.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.875,0.125,59,63,80,65,80,58,Torrent,Rain Dish,,,,1.0,1
9,Blastoise,1.6,85.5,Blue,NU,Wartortle,36.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.875,0.125,79,83,100,85,105,78,Torrent,Rain Dish,,,,,1
9,Blastoise-Mega,1.6,101.1,Blue,Illegal,,,Mega,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.875,0.125,79,103,120,135,115,78,Mega Launcher,,,,,,6
9,Blastoise-Gmax,1.6,0.0,Blue,AG,,,Gmax,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.875,0.125,79,83,100,85,105,78,Torrent,Rain Dish,,,,,8
10,Caterpie,0.30000000000000004,2.9,Green,LC,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,30,35,20,20,45,Shield Dust,Run Away,,,,1.0,1
11,Metapod,0.7000000000000001,9.9,Green,NFE,Caterpie,7.0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,50,20,55,25,25,30,Shed Skin,,,,,1.0,1
12,Butterfree,1.1,32.0,White,(PU),Metapod,10.0,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,60,45,50,90,80,70,Compound Eyes,Tinted Lens,,,,,1
12,Butterfree-Gmax,17.0,0.0,White,AG,,,Gmax,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,60,45,50,90,80,70,Compound Eyes,Tinted Lens,,,,,8
13,Weedle,0.30000000000000004,3.2,Brown,Illegal,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,40,35,30,20,20,50,Shield Dust,Run Away,,,,1.0,1
14,Kakuna,0.6000000000000001,10.0,Yellow,Illegal,Weedle,7.0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,25,50,25,25,35,Shed Skin,,,,,1.0,1
15,Beedrill,1.0,29.5,Yellow,Illegal,Kakuna,10.0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,65,90,40,45,80,75,Swarm,Sniper,,,,,1
15,Beedrill-Mega,1.4,40.5,Yellow,,,,Mega,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,65,150,40,15,80,145,Adaptability,,,,,,6
16,Pidgey,0.30000000000000004,1.8,Brown,Illegal,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,40,45,40,35,35,56,Keen Eye,Big Pecks,Tangled Feet,,,1.0,1
17,Pidgeotto,1.1,30.0,Brown,Illegal,Pidgey,18.0,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,63,60,55,50,50,71,Keen Eye,Big Pecks,Tangled Feet,,,1.0,1
18,Pidgeot,1.5,39.5,Brown,Illegal,Pidgeotto,36.0,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,83,80,75,70,70,101,Keen Eye,Big Pecks,Tangled Feet,,,,1
18,Pidgeot-Mega,2.2,50.5,Brown,,,,Mega,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,83,80,80,135,80,121,No Guard,,,,,,6
19,Rattata,0.30000000000000004,3.5,Purple,Illegal,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,30,56,35,25,35,72,Run Away,Hustle,Guts,,,1.0,1
19,Rattata-Alola,0.30000000000000004,3.8,Black,Illegal,,,Alola,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,30,56,35,25,35,72,Gluttony,Thick Fat,Hustle,,,1.0,7
20,Raticate,0.7000000000000001,18.5,Brown,Illegal,Rattata,20.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,55,81,60,50,70,97,Run Away,Hustle,Guts,,,,1
20,Raticate-Alola,0.7000000000000001,25.5,Black,Illegal,Rattata-Alola,20.0,Alola,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,75,71,70,40,80,77,Gluttony,Thick Fat,Hustle,,,,7
20,Raticate-Alola-Totem,1.4,105.0,Black,Illegal,,,Alola-Totem,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,75,71,70,40,80,77,Thick Fat,,,,,,7
21,Spearow,0.30000000000000004,2.0,Brown,Illegal,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,40,60,30,31,31,70,Keen Eye,Sniper,,,,1.0,1
22,Fearow,1.2,38.0,Brown,Illegal,Spearow,20.0,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,65,90,65,61,61,100,Keen Eye,Sniper,,,,,1
23,Ekans,2.0,6.9,Purple,Illegal,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,35,60,44,40,54,55,Intimidate,Unnerve,Shed Skin,,,1.0,1
24,Arbok,3.5,65.0,Purple,Illegal,Ekans,22.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,60,95,69,65,79,80,Intimidate,Unnerve,Shed Skin,,,,1
25,Pikachu,0.4,6.0,Yellow,NFE,Pichu,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,35,55,40,50,50,90,Static,Lightning Rod,,,,2.0,1
25,Pikachu-Cosplay,0.4,6.0,Yellow,Illegal,,,Cosplay,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,35,55,40,50,50,90,Lightning Rod,,,,,,1
25,Pikachu-Rock-Star,0.4,6.0,Yellow,Illegal,,,Rock-Star,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,35,55,40,50,50,90,Lightning Rod,,,,,,1
25,Pikachu-Belle,0.4,6.0,Yellow,Illegal,,,Belle,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,35,55,40,50,50,90,Lightning Rod,,,,,,1
25,Pikachu-Pop-Star,0.4,6.0,Yellow,Illegal,,,Pop-Star,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,35,55,40,50,50,90,Lightning Rod,,,,,,1
25,Pikachu-PhD,0.4,6.0,Yellow,Illegal,,,PhD,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,35,55,40,50,50,90,Lightning Rod,,,,,,1
25,Pikachu-Libre,0.4,6.0,Yellow,Illegal,,,Libre,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,35,55,40,50,50,90,Lightning Rod,,,,,,1
25,Pikachu-Original,0.4,6.0,Yellow,(PU),,,Original,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,35,55,40,50,50,90,Static,Lightning Rod,,,,,1
25,Pikachu-Hoenn,0.4,6.0,Yellow,(PU),,,Hoenn,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,35,55,40,50,50,90,Static,Lightning Rod,,,,,1
25,Pikachu-Sinnoh,0.4,6.0,Yellow,(PU),,,Sinnoh,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,35,55,40,50,50,90,Static,Lightning Rod,,,,,1
25,Pikachu-Unova,0.4,6.0,Yellow,(PU),,,Unova,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,35,55,40,50,50,90,Static,Lightning Rod,,,,,1
25,Pikachu-Kalos,0.4,6.0,Yellow,(PU),,,Kalos,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,35,55,40,50,50,90,Static,Lightning Rod,,,,,1
25,Pikachu-Alola,0.4,6.0,Yellow,(PU),,,Alola,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,35,55,40,50,50,90,Static,Lightning Rod,,,,,7
25,Pikachu-Partner,0.4,6.0,Yellow,(PU),,,Partner,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,35,55,40,50,50,90,Static,Lightning Rod,,,,,1
25,Pikachu-Starter,0.4,6.0,Yellow,Illegal,,,Starter,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,45,80,50,75,60,120,Static,Lightning Rod,,,,,1
25,Pikachu-Gmax,21.0,0.0,Yellow,AG,,,Gmax,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,35,55,40,50,50,90,Static,Lightning Rod,,,,,8
25,Pikachu-World,0.4,6.0,Yellow,(PU),,,World,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,35,55,40,50,50,90,Static,Lightning Rod,,,,,1
26,Raichu,0.8,30.0,Yellow,(PU),Pikachu,,,Thunder Stone,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,60,90,55,90,80,110,Static,Lightning Rod,,,,,1
26,Raichu-Alola,0.7000000000000001,21.0,Brown,PUBL,Pikachu,,Alola,Thunder Stone,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,60,85,50,95,85,110,Surge Surfer,,,,,,7
27,Sandshrew,0.6000000000000001,12.0,Yellow,LC,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,50,75,85,20,30,40,Sand Veil,Sand Rush,,,,1.0,1
27,Sandshrew-Alola,0.7000000000000001,40.0,White,NUBL,,,Alola,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,50,75,90,10,35,40,Snow Cloak,Slush Rush,,,,1.0,7
28,Sandslash,1.0,29.5,Yellow,PU,Sandshrew,22.0,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,75,100,110,45,55,65,Sand Veil,Sand Rush,,,,,1
28,Sandslash-Alola,1.2,55.0,Blue,NUBL,Sandshrew-Alola,,Alola,Ice Stone,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,75,100,120,25,65,65,Snow Cloak,Slush Rush,,,,,7
29,Nidoran-F,0.4,7.0,Blue,LC,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1.0,55,47,52,40,40,41,Poison Point,Hustle,Rivalry,,,1.0,1
30,Nidorina,0.8,20.0,Blue,NFE,Nidoran-F,16.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,70,62,67,55,55,56,Poison Point,Hustle,Rivalry,,,1.0,1
31,Nidoqueen,1.3,60.0,Blue,RU,Nidorina,,,Moon Stone,,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,90,92,87,75,85,76,Poison Point,Sheer Force,Rivalry,,,,1
32,Nidoran-M,0.5,9.0,Purple,LC,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.0,0.0,46,57,40,40,40,50,Poison Point,Hustle,Rivalry,,,1.0,1
33,Nidorino,0.9,19.5,Purple,NFE,Nidoran-M,16.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.0,0.0,61,72,57,55,55,65,Poison Point,Hustle,Rivalry,,,1.0,1
34,Nidoking,1.4,62.0,Purple,UU,Nidorino,,,Moon Stone,,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.0,0.0,81,102,77,85,75,85,Poison Point,Sheer Force,Rivalry,,,,1
35,Clefairy,0.6000000000000001,7.5,Pink,NFE,Cleffa,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0.75,70,45,48,60,65,35,Cute Charm,Friend Guard,Magic Guard,,,1.0,1
36,Clefable,1.3,40.0,Pink,OU,Clefairy,,,Moon Stone,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0.75,95,70,73,95,90,60,Cute Charm,Unaware,Magic Guard,,,,1
37,Vulpix,0.6000000000000001,9.9,Brown,LC,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0.75,38,41,40,50,65,65,Flash Fire,Drought,,,,1.0,1
37,Vulpix-Alola,0.6000000000000001,9.9,White,NFE,,,Alola,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0.75,38,41,40,50,65,65,Snow Cloak,Snow Warning,,,,1.0,7
38,Ninetales,1.1,19.9,Yellow,(PU),Vulpix,,,Fire Stone,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0.75,73,76,75,81,100,100,Flash Fire,Drought,,,,,1
38,Ninetales-Alola,1.1,19.9,Blue,OU,Vulpix-Alola,,Alola,Ice Stone,,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0.75,73,67,75,81,100,109,Snow Cloak,Snow Warning,,,,,7
39,Jigglypuff,0.5,5.5,Pink,NFE,Igglybuff,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0.75,115,45,20,45,25,20,Cute Charm,Friend Guard,Competitive,,,1.0,1
40,Wigglytuff,1.0,12.0,Pink,(PU),Jigglypuff,,,Moon Stone,,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0.75,140,70,45,85,50,45,Cute Charm,Frisk,Competitive,,,,1
41,Zubat,0.8,7.5,Purple,LC,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,40,45,35,30,40,55,Inner Focus,Infiltrator,,,,1.0,1
42,Golbat,1.6,55.0,Purple,NFE,Zubat,22.0,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,75,80,70,65,75,90,Inner Focus,Infiltrator,,,,1.0,1
43,Oddish,0.5,5.4,Blue,LC,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,45,50,55,75,65,30,Chlorophyll,Run Away,,,,1.0,1
44,Gloom,0.8,8.6,Blue,NFE,Oddish,21.0,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,60,65,70,85,75,40,Chlorophyll,Stench,,,,2.0,1
45,Vileplume,1.2,18.6,Red,NU,Gloom,,,Leaf Stone,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,75,80,85,110,90,50,Chlorophyll,Effect Spore,,,,,1
46,Paras,0.30000000000000004,5.4,Red,Illegal,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,35,70,55,45,55,25,Effect Spore,Damp,Dry Skin,,,1.0,1
47,Parasect,1.0,29.5,Red,Illegal,Paras,24.0,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,60,95,80,60,80,30,Effect Spore,Damp,Dry Skin,,,,1
48,Venonat,1.0,30.0,Purple,Illegal,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,60,55,50,40,55,45,Compound Eyes,Run Away,Tinted Lens,,,1.0,1
49,Venomoth,1.5,12.5,Purple,Illegal,Venonat,31.0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,70,65,60,90,75,90,Shield Dust,Wonder Skin,Tinted Lens,,,,1
50,Diglett,0.2,0.8,Brown,LC,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,10,55,25,35,45,95,Sand Veil,Sand Force,Arena Trap,,,1.0,1
50,Diglett-Alola,0.2,1.0,Brown,LC,,,Alola,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,10,55,30,35,45,90,Sand Veil,Sand Force,Tangling Hair,,,1.0,7
51,Dugtrio,0.7000000000000001,33.3,Brown,(PU),Diglett,26.0,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,35,100,50,50,70,120,Sand Veil,Sand Force,Arena Trap,,,,1
51,Dugtrio-Alola,0.7000000000000001,66.6,Brown,(PU),Diglett-Alola,26.0,Alola,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,35,100,60,50,70,110,Sand Veil,Sand Force,Tangling Hair,,,,7
52,Meowth,0.4,4.2,Yellow,LC,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,40,45,35,40,40,90,Pickup,Unnerve,Technician,,,1.0,1
52,Meowth-Alola,0.4,4.2,Blue,LC,,,Alola,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,40,35,35,50,40,90,Pickup,Rattled,Technician,,,1.0,7
52,Meowth-Galar,0.4,7.5,Brown,LC,,,Galar,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,50,65,55,40,40,40,Pickup,Unnerve,Tough Claws,,,1.0,8
52,Meowth-Gmax,33.0,0.0,Yellow,AG,,,Gmax,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,40,45,35,40,40,90,Pickup,Unnerve,Technician,,,,8
53,Persian,1.0,32.0,Yellow,(PU),Meowth,28.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,65,70,60,65,65,115,Limber,Unnerve,Technician,,,,1
53,Persian-Alola,1.1,33.0,Blue,(PU),Meowth-Alola,,Alola,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,65,60,60,75,65,115,Fur Coat,Rattled,Technician,,,,7
