num,name,heightm,weightkg,color,prevo,evoLevel,otherFormes,formeOrder,canGigantamax,baseSpecies,forme,requiredItem,changesFrom,evoCondition,evoType,gen,evoItem,evoRegion,canHatch,evoMove,baseForme,cosmeticFormes,maxHP,requiredAbility,battleOnly,requiredMove,requiredItems,cannotDynamax,Bug,Dark,Dragon,Electric,Fairy,Fighting,Fire,Flying,Ghost,Grass,Ground,Ice,Normal,Poison,Psychic,Rock,Steel,Water,eggGroup_Amorphous,eggGroup_Bug,eggGroup_Ditto,eggGroup_Dragon,eggGroup_Fairy,eggGroup_Field,eggGroup_Flying,eggGroup_Grass,eggGroup_Human-Like,eggGroup_Mineral,eggGroup_Monster,eggGroup_Undiscovered,eggGroup_Water 1,eggGroup_Water 2,eggGroup_Water 3,M,F,hp,atk,def,spa,spd,spe,ability_0,ability_H,ability_1,ability_S,legendary,numEvos
11,Metapod,0.7000000000000001,9.9,Green,Caterpie,7.0,,,,,,,,,,1.0,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,50,20,55,25,25,30,Shed Skin,,,,,1.0
12,Butterfree,1.1,32.0,White,Metapod,10.0,,,G-Max Befuddle,,,,,,,1.0,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,60,45,50,90,80,70,Compound Eyes,Tinted Lens,,,,
12,Butterfree-Gmax,17.0,0.0,White,,,,,,Butterfree,Gmax,,Butterfree,,,8.0,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,60,45,50,90,80,70,Compound Eyes,Tinted Lens,,,,
13,Weedle,0.30000000000000004,3.2,Brown,,,,,,,,,,,,1.0,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,40,35,30,20,20,50,Shield Dust,Run Away,,,,1.0
14,Kakuna,0.6000000000000001,10.0,Yellow,Weedle,7.0,,,,,,,,,,1.0,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,25,50,25,25,35,Shed Skin,,,,,1.0
15,Beedrill,1.0,29.5,Yellow,Kakuna,10.0,['Beedrill-Mega'],"['Beedrill', 'Beedrill-Mega']",,,,,,,,1.0,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,65,90,40,45,80,75,Swarm,Sniper,,,,
15,Beedrill-Mega,1.4,40.5,Yellow,,,,,,Beedrill,Mega,Beedrillite,,,,6.0,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,65,150,40,15,80,145,Adaptability,,,,,
16,Pidgey,0.30000000000000004,1.8,Brown,,,,,,,,,,,,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,40,45,40,35,35,56,Keen Eye,Big Pecks,Tangled Feet,,,1.0
17,Pidgeotto,1.1,30.0,Brown,Pidgey,18.0,,,,,,,,,,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,63,60,55,50,50,71,Keen Eye,Big Pecks,Tangled Feet,,,1.0
18,Pidgeot,1.5,39.5,Brown,Pidgeotto,36.0,['Pidgeot-Mega'],"['Pidgeot', 'Pidgeot-Mega']",,,,,,,,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,83,80,75,70,70,101,Keen Eye,Big Pecks,Tangled Feet,,,
18,Pidgeot-Mega,2.2,50.5,Brown,,,,,,Pidgeot,Mega,Pidgeotite,,,,6.0,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,83,80,80,135,80,121,No Guard,,,,,
19,Rattata,0.30000000000000004,3.5,Purple,,,['Rattata-Alola'],"['Rattata', 'Rattata-Alola']",,,,,,,,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,30,56,35,25,35,72,Run Away,Hustle,Guts,,,1.0
19,Rattata-Alola,0.30000000000000004,3.8,Black,,,,,,Rattata,Alola,,,,,7.0,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,30,56,35,25,35,72,Gluttony,Thick Fat,Hustle,,,1.0
20,Raticate,0.7000000000000001,18.5,Brown,Rattata,20.0,"['Raticate-Alola', 'Raticate-Alola-Totem']","['Raticate', 'Raticate-Alola', 'Raticate-Alola-Totem']",,,,,,,,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,55,81,60,50,70,97,Run Away,Hustle,Guts,,,
20,Raticate-Alola,0.7000000000000001,25.5,Black,Rattata-Alola,20.0,,,,Raticate,Alola,,,at night,,7.0,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,75,71,70,40,80,77,Gluttony,Thick Fat,Hustle,,,
20,Raticate-Alola-Totem,1.4,105.0,Black,,,,,,Raticate,Alola-Totem,,,,,7.0,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,75,71,70,40,80,77,Thick Fat,,,,,
21,Spearow,0.30000000000000004,2.0,Brown,,,,,,,,,,,,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,40,60,30,31,31,70,Keen Eye,Sniper,,,,1.0
22,Fearow,1.2,38.0,Brown,Spearow,20.0,,,,,,,,,,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,65,90,65,61,61,100,Keen Eye,Sniper,,,,
23,Ekans,2.0,6.9,Purple,,,,,,,,,,,,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,35,60,44,40,54,55,Intimidate,Unnerve,Shed Skin,,,1.0
24,Arbok,3.5,65.0,Purple,Ekans,22.0,,,,,,,,,,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,60,95,69,65,79,80,Intimidate,Unnerve,Shed Skin,,,
25,Pikachu,0.4,6.0,Yellow,Pichu,,"['Pikachu-Cosplay', 'Pikachu-Rock-Star', 'Pikachu-Belle', 'Pikachu-Pop-Star', 'Pikachu-PhD', 'Pikachu-Libre', 'Pikachu-Original', 'Pikachu-Hoenn', 'Pikachu-Sinnoh', 'Pikachu-Unova', 'Pikachu-Kalos', 'Pikachu-Alola', 'Pikachu-Partner', 'Pikachu-Starter', 'Pikachu-World']","['Pikachu', 'Pikachu-Original', 'Pikachu-Hoenn', 'Pikachu-Sinnoh', 'Pikachu-Unova', 'Pikachu-Kalos', 'Pikachu-Alola', 'Pikachu-Partner', 'Pikachu-Starter', 'Pikachu-World', 'Pikachu-Rock-Star', 'Pikachu-Belle', 'Pikachu-Pop-Star', 'Pikachu-PhD', 'Pikachu-Libre', 'Pikachu-Cosplay']",G-Max Volt Crash,,,,,,levelFriendship,1.0,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,35,55,40,50,50,90,Static,Lightning Rod,,,,2.0
25,Pikachu-Cosplay,0.4,6.0,Yellow,,,,,,Pikachu,Cosplay,,,,,1.0,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,35,55,40,50,50,90,Lightning Rod,,,,,
25,Pikachu-Rock-Star,0.4,6.0,Yellow,,,,,,Pikachu,Rock-Star,,Pikachu-Cosplay,,,1.0,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,35,55,40,50,50,90,Lightning Rod,,,,,
25,Pikachu-Belle,0.4,6.0,Yellow,,,,,,Pikachu,Belle,,Pikachu-Cosplay,,,1.0,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,35,55,40,50,50,90,Lightning Rod,,,,,
25,Pikachu-Pop-Star,0.4,6.0,Yellow,,,,,,Pikachu,Pop-Star,,Pikachu-Cosplay,,,1.0,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,35,55,40,50,50,90,Lightning Rod,,,,,
25,Pikachu-PhD,0.4,6.0,Yellow,,,,,,Pikachu,PhD,,Pikachu-Cosplay,,,1.0,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,35,55,40,50,50,90,Lightning Rod,,,,,
25,Pikachu-Libre,0.4,6.0,Yellow,,,,,,Pikachu,Libre,,Pikachu-Cosplay,,,1.0,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,35,55,40,50,50,90,Lightning Rod,,,,,
25,Pikachu-Original,0.4,6.0,Yellow,,,,,,Pikachu,Original,,,,,1.0,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,35,55,40,50,50,90,Static,Lightning Rod,,,,
25,Pikachu-Hoenn,0.4,6.0,Yellow,,,,,,Pikachu,Hoenn,,,,,1.0,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,35,55,40,50,50,90,Static,Lightning Rod,,,,
25,Pikachu-Sinnoh,0.4,6.0,Yellow,,,,,,Pikachu,Sinnoh,,,,,1.0,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,35,55,40,50,50,90,Static,Lightning Rod,,,,
25,Pikachu-Unova,0.4,6.0,Yellow,,,,,,Pikachu,Unova,,,,,1.0,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,35,55,40,50,50,90,Static,Lightning Rod,,,,
25,Pikachu-Kalos,0.4,6.0,Yellow,,,,,,Pikachu,Kalos,,,,,1.0,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,35,55,40,50,50,90,Static,Lightning Rod,,,,
25,Pikachu-Alola,0.4,6.0,Yellow,,,,,,Pikachu,Alola,,,,,7.0,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,35,55,40,50,50,90,Static,Lightning Rod,,,,
25,Pikachu-Partner,0.4,6.0,Yellow,,,,,,Pikachu,Partner,,,,,1.0,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,35,55,40,50,50,90,Static,Lightning Rod,,,,
25,Pikachu-Starter,0.4,6.0,Yellow,,,,,,Pikachu,Starter,,,,,1.0,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,45,80,50,75,60,120,Static,Lightning Rod,,,,
25,Pikachu-Gmax,21.0,0.0,Yellow,,,,,,Pikachu,Gmax,,Pikachu,,,8.0,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,35,55,40,50,50,90,Static,Lightning Rod,,,,
25,Pikachu-World,0.4,6.0,Yellow,,,,,,Pikachu,World,,,,,1.0,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,35,55,40,50,50,90,Static,Lightning Rod,,,,
26,Raichu,0.8,30.0,Yellow,Pikachu,,['Raichu-Alola'],"['Raichu', 'Raichu-Alola']",,,,,,,useItem,1.0,Thunder Stone,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,60,90,55,90,80,110,Static,Lightning Rod,,,,
26,Raichu-Alola,0.7000000000000001,21.0,Brown,Pikachu,,,,,Raichu,Alola,,,,useItem,7.0,Thunder Stone,Alola,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,60,85,50,95,85,110,Surge Surfer,,,,,
27,Sandshrew,0.6000000000000001,12.0,Yellow,,,['Sandshrew-Alola'],"['Sandshrew', 'Sandshrew-Alola']",,,,,,,,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,50,75,85,20,30,40,Sand Veil,Sand Rush,,,,1.0
27,Sandshrew-Alola,0.7000000000000001,40.0,White,,,,,,Sandshrew,Alola,,,,,7.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,50,75,90,10,35,40,Snow Cloak,Slush Rush,,,,1.0
28,Sandslash,1.0,29.5,Yellow,Sandshrew,22.0,['Sandslash-Alola'],"['Sandslash', 'Sandslash-Alola']",,,,,,,,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,75,100,110,45,55,65,Sand Veil,Sand Rush,,,,
28,Sandslash-Alola,1.2,55.0,Blue,Sandshrew-Alola,,,,,Sandslash,Alola,,,,useItem,7.0,Ice Stone,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,75,100,120,25,65,65,Snow Cloak,Slush Rush,,,,
29,Nidoran-F,0.4,7.0,Blue,,,,,,,,,,,,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1.0,55,47,52,40,40,41,Poison Point,Hustle,Rivalry,,,1.0
30,Nidorina,0.8,20.0,Blue,Nidoran-F,16.0,,,,,,,,,,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,70,62,67,55,55,56,Poison Point,Hustle,Rivalry,,,1.0
31,Nidoqueen,1.3,60.0,Blue,Nidorina,,,,,,,,,,useItem,1.0,Moon Stone,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,90,92,87,75,85,76,Poison Point,Sheer Force,Rivalry,,,
32,Nidoran-M,0.5,9.0,Purple,,,,,,,,,,,,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.0,0.0,46,57,40,40,40,50,Poison Point,Hustle,Rivalry,,,1.0
33,Nidorino,0.9,19.5,Purple,Nidoran-M,16.0,,,,,,,,,,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.0,0.0,61,72,57,55,55,65,Poison Point,Hustle,Rivalry,,,1.0
34,Nidoking,1.4,62.0,Purple,Nidorino,,,,,,,,,,useItem,1.0,Moon Stone,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.0,0.0,81,102,77,85,75,85,Poison Point,Sheer Force,Rivalry,,,
35,Clefairy,0.6000000000000001,7.5,Pink,Cleffa,,,,,,,,,,levelFriendship,1.0,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0.75,70,45,48,60,65,35,Cute Charm,Friend Guard,Magic Guard,,,1.0
36,Clefable,1.3,40.0,Pink,Clefairy,,,,,,,,,,useItem,1.0,Moon Stone,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0.75,95,70,73,95,90,60,Cute Charm,Unaware,Magic Guard,,,
37,Vulpix,0.6000000000000001,9.9,Brown,,,['Vulpix-Alola'],"['Vulpix', 'Vulpix-Alola']",,,,,,,,1.0,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0.75,38,41,40,50,65,65,Flash Fire,Drought,,,,1.0
37,Vulpix-Alola,0.6000000000000001,9.9,White,,,,,,Vulpix,Alola,,,,,7.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0.75,38,41,40,50,65,65,Snow Cloak,Snow Warning,,,,1.0
38,Ninetales,1.1,19.9,Yellow,Vulpix,,['Ninetales-Alola'],"['Ninetales', 'Ninetales-Alola']",,,,,,,useItem,1.0,Fire Stone,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0.75,73,76,75,81,100,100,Flash Fire,Drought,,,,
38,Ninetales-Alola,1.1,19.9,Blue,Vulpix-Alola,,,,,Ninetales,Alola,,,,useItem,7.0,Ice Stone,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0.75,73,67,75,81,100,109,Snow Cloak,Snow Warning,,,,
39,Jigglypuff,0.5,5.5,Pink,Igglybuff,,,,,,,,,,levelFriendship,1.0,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0.75,115,45,20,45,25,20,Cute Charm,Friend Guard,Competitive,,,1.0
40,Wigglytuff,1.0,12.0,Pink,Jigglypuff,,,,,,,,,,useItem,1.0,Moon Stone,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0.75,140,70,45,85,50,45,Cute Charm,Frisk,Competitive,,,
41,Zubat,0.8,7.5,Purple,,,,,,,,,,,,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,40,45,35,30,40,55,Inner Focus,Infiltrator,,,,1.0
